num_facilities,overall_rating,rn_hours_total,staff_turnover_pct,total_fines,total_payment_denials,hosp_per_1000_residents,falls_with_injury,pressure_ulcers,uti_pct,catheter_pct,mobility_decline_pct,restrained_pct,incontinence_pct,weight_loss_pct,depression_pct
6.0,3.0,0.7,49.3,7.0,1.0,3.5,3.4,7.9,1.8,1.3,22.5,0.0,24.3,7.2,1.3
23.0,2.4,0.6,48.3,12.0,1.0,1.9,3.0,4.3,0.3,0.2,10.7,0.0,26.0,5.4,24.7
33.0,3.5,0.4,52.1,13.0,0.0,2.4,5.3,6.0,1.4,0.6,11.6,0.1,18.8,2.3,0.8
14.0,2.8,0.9,46.4,18.0,2.0,2.0,4.7,5.5,1.9,0.6,20.8,0.0,24.2,10.0,1.2
5.0,3.8,0.9,47.9,4.0,0.0,1.9,4.0,5.5,1.2,0.6,15.9,0.0,8.2,1.3,0.0
12.0,3.3,0.6,37.9,26.0,3.0,2.3,2.1,4.5,1.5,0.7,9.2,0.5,9.2,5.0,0.9
10.0,2.0,0.3,45.0,8.0,1.0,3.0,6.0,3.6,3.9,1.0,25.9,0.2,15.0,7.0,23.5
5.0,2.6,0.8,45.7,9.0,1.0,1.8,2.6,4.1,1.0,0.4,13.3,0.0,18.7,3.8,2.8
12.0,2.8,0.7,53.5,19.0,2.0,1.0,1.7,7.3,1.9,1.4,13.3,0.3,19.5,6.3,4.4
32.0,2.7,0.4,37.9,33.0,12.0,2.6,1.7,5.2,1.1,0.5,9.5,0.0,13.0,4.2,13.0
17.0,2.0,0.6,50.2,21.0,12.0,1.8,3.5,3.5,2.4,1.0,18.7,0.3,28.0,5.0,3.0
38.0,3.0,0.4,50.3,55.0,4.0,1.8,2.9,4.2,0.2,0.1,10.8,0.0,10.2,2.2,0.9
5.0,3.4,0.4,39.4,6.0,0.0,2.4,1.6,5.7,2.0,2.0,36.7,0.0,21.7,6.5,6.9
5.0,3.4,0.8,50.4,2.0,2.0,1.4,2.1,3.9,0.8,2.4,12.1,0.1,25.8,4.0,5.3
11.0,2.6,0.3,53.0,20.0,2.0,2.1,4.9,4.2,0.5,0.3,21.1,0.0,19.9,4.4,2.0
20.0,3.7,0.6,54.8,7.0,0.0,1.4,4.6,4.1,1.2,0.1,10.9,0.0,22.9,7.1,6.1
6.0,4.0,0.9,34.8,2.0,1.0,1.0,2.8,6.8,1.9,2.6,21.3,0.0,25.2,3.0,3.1
43.0,2.9,0.7,42.6,31.0,9.0,1.3,3.0,3.3,1.6,1.2,17.7,0.1,26.7,4.2,3.4
10.0,2.2,0.4,66.4,4.0,2.0,1.7,2.9,3.8,0.2,0.1,6.1,0.0,18.4,6.2,35.6
37.0,3.5,0.7,27.8,25.0,0.0,1.6,2.7,7.8,0.8,0.8,13.7,0.0,20.0,5.3,11.6
34.0,3.4,0.6,41.1,18.0,2.0,1.6,2.9,5.6,0.7,0.1,12.7,0.0,20.7,6.4,16.1
16.0,4.3,0.7,53.4,3.0,1.0,1.6,3.5,3.1,0.1,0.3,6.3,0.0,27.2,6.6,46.9
14.0,3.2,0.4,52.3,22.0,0.0,2.3,1.3,2.4,0.2,0.0,10.8,0.0,4.9,1.5,1.7
5.0,4.2,0.4,49.4,1.0,0.0,1.4,1.7,0.6,0.5,0.1,9.9,0.0,26.1,6.5,43.3
8.0,2.1,0.4,48.8,7.0,0.0,2.8,3.3,5.6,3.5,1.8,19.3,0.0,13.4,6.8,3.2
7.0,3.0,0.7,43.0,5.0,0.0,1.6,2.7,3.4,1.3,0.5,17.4,0.0,22.0,5.0,15.4
3.0,3.7,0.8,51.6,2.0,0.0,1.6,4.1,4.7,3.2,0.4,17.7,0.0,23.5,8.0,9.5
6.0,1.8,0.3,42.9,9.0,2.0,2.1,3.1,11.0,3.1,1.7,23.8,0.0,16.0,9.1,1.5
7.0,1.1,0.6,47.3,6.0,3.0,1.8,2.9,6.7,0.8,0.9,15.4,0.0,28.1,6.0,26.8
20.0,1.9,0.8,60.4,43.0,15.0,1.5,3.2,3.7,1.2,0.7,13.5,0.0,19.0,3.8,24.7
44.0,3.3,0.8,51.9,56.0,3.0,1.2,3.1,3.6,1.6,1.1,20.9,0.0,24.2,6.2,15.8
14.0,3.6,1.0,40.0,6.0,1.0,2.0,2.3,5.3,0.8,0.2,6.5,0.0,20.0,7.1,61.6
